acq_num,evt_num,windnum,time,data_ch2
0,23,10,0,24.4
0,23,10,1,26.3
0,23,10,2,24.4
0,23,10,3,25.9
0,23,10,4,25.8
0,23,10,5,28.5
0,23,10,6,20.3
0,23,10,7,27.6
0,23,10,8,23.8
0,23,10,9,25.3
0,23,10,10,27.5
0,23,10,11,25.2
0,23,10,12,22.8
0,23,10,13,28.8
0,23,10,14,23.2
0,23,10,15,28.0
0,23,10,16,23.1
0,23,10,17,24.2
0,23,10,18,25.9
0,23,10,19,27.7
0,23,10,20,27.0
0,23,10,21,24.1
0,23,10,22,23.7
0,23,10,23,26.0
0,23,10,24,23.8
0,23,10,25,27.6
0,23,10,26,23.6
0,23,10,27,25.5
0,23,10,28,26.3
0,23,10,29,26.3
0,23,10,30,25.6
0,23,10,31,25.5
0,23,10,32,27.5
0,23,10,33,25.4
0,23,10,34,23.9
0,23,10,35,25.1
0,23,10,36,27.3
0,23,10,37,22.8
0,23,10,38,25.4
0,23,10,39,23.5
0,23,10,40,24.2
0,23,10,41,27.4
0,23,10,42,25.7
0,23,10,43,24.9
0,23,10,44,26.1
0,23,10,45,28.0
0,23,10,46,26.9
0,23,10,47,26.4
0,23,10,48,23.2
0,23,10,49,25.6
0,23,10,50,23.6
0,23,10,51,24.6
0,23,10,52,23.4
0,23,10,53,22.5
0,23,10,54,29.8
0,23,10,55,25.2
0,23,10,56,27.9
0,23,10,57,25.2
0,23,10,58,26.6
0,23,10,59,25.8
0,23,10,60,27.9
0,23,10,61,26.2
0,23,10,62,26.9
0,23,10,63,27.7
0,23,11,64,30.1
0,23,11,65,24.7
0,23,11,66,28.5
0,23,11,67,26.2
0,23,11,68,28.6
0,23,11,69,27.4
0,23,11,70,24.6
0,23,11,71,22.0
0,23,11,72,26.3
0,23,11,73,30.4
0,23,11,74,26.0
0,23,11,75,24.7
0,23,11,76,23.2
0,23,11,77,23.1
0,23,11,78,24.8
0,23,11,79,27.9
0,23,11,80,31.7
0,23,11,81,25.5
0,23,11,82,23.8
0,23,11,83,28.9
0,23,11,84,26.6
0,23,11,85,27.9
0,23,11,86,29.0
0,23,11,87,27.8
0,23,11,88,27.0
0,23,11,89,26.9
0,23,11,90,27.2
0,23,11,91,25.5
0,23,11,92,22.9
0,23,11,93,27.9
0,23,11,94,21.0
0,23,11,95,20.9
0,23,11,96,27.6
0,23,11,97,21.2
0,23,11,98,26.9
0,23,11,99,29.1
0,23,11,100,26.1
0,23,11,101,22.3
0,23,11,102,27.6
0,23,11,103,26.1
0,23,11,104,27.5
0,23,11,105,26.0
0,23,11,106,29.2
0,23,11,107,27.1
0,23,11,108,24.4
0,23,11,109,26.5
0,23,11,110,29.3
0,23,11,111,19.4
0,23,11,112,25.1
0,23,11,113,25.1
0,23,11,114,23.8
0,23,11,115,26.7
0,23,11,116,21.0
0,23,11,117,25.2
0,23,11,118,26.0
0,23,11,119,26.9
0,23,11,120,17.2
0,23,11,121,22.6
0,23,11,122,23.3
0,23,11,123,26.0
0,23,11,124,24.5
0,23,11,125,27.1
0,23,11,126,29.4
0,23,11,127,22.6
0,23,12,128,25.1
0,23,12,129,26.1
0,23,12,130,25.0
0,23,12,131,24.3
0,23,12,132,25.5
0,23,12,133,31.2
0,23,12,134,26.9
0,23,12,135,25.5
0,23,12,136,28.9
0,23,12,137,28.4
0,23,12,138,26.4
0,23,12,139,26.7
0,23,12,140,26.0
0,23,12,141,26.3
0,23,12,142,26.0
0,23,12,143,23.2
0,23,12,144,27.0
0,23,12,145,24.2
0,23,12,146,25.6
0,23,12,147,25.6
0,23,12,148,23.4
0,23,12,149,25.4
0,23,12,150,26.3
0,23,12,151,29.6
0,23,12,152,23.7
0,23,12,153,26.3
0,23,12,154,23.7
0,23,12,155,25.7
0,23,12,156,22.3
0,23,12,157,23.6
0,23,12,158,26.4
0,23,12,159,24.3
0,23,12,160,25.8
0,23,12,161,26.1
0,23,12,162,28.3
0,23,12,163,27.5
0,23,12,164,27.5
0,23,12,165,29.4
0,23,12,166,27.6
0,23,12,167,25.2
0,23,12,168,29.2
0,23,12,169,24.2
0,23,12,170,26.1
0,23,12,171,26.8
0,23,12,172,27.5
0,23,12,173,29.1
0,23,12,174,29.6
0,23,12,175,24.3
0,23,12,176,26.3
0,23,12,177,26.8
0,23,12,178,27.4
0,23,12,179,28.3
0,23,12,180,28.6
0,23,12,181,30.5
0,23,12,182,32.4
0,23,12,183,26.2
0,23,12,184,28.4
0,23,12,185,25.5
0,23,12,186,26.7
0,23,12,187,25.0
0,23,12,188,23.7
0,23,12,189,27.0
0,23,12,190,27.8
0,23,12,191,26.2
0,23,13,192,25.2
0,23,13,193,22.2
0,23,13,194,26.7
0,23,13,195,26.1
0,23,13,196,24.1
0,23,13,197,23.7
0,23,13,198,23.4
0,23,13,199,24.0
0,23,13,200,21.1
0,23,13,201,31.2
0,23,13,202,26.5
0,23,13,203,27.1
0,23,13,204,24.3
0,23,13,205,27.5
0,23,13,206,22.4
0,23,13,207,25.7
0,23,13,208,26.6
0,23,13,209,28.1
0,23,13,210,23.2
0,23,13,211,22.4
0,23,13,212,27.9
0,23,13,213,27.0
0,23,13,214,22.4
0,23,13,215,24.1
0,23,13,216,27.4
0,23,13,217,30.4
0,23,13,218,21.7
0,23,13,219,25.8
0,23,13,220,25.4
0,23,13,221,24.5
0,23,13,222,26.3
0,23,13,223,20.6
0,23,13,224,23.0
0,23,13,225,25.2
0,23,13,226,26.5
0,23,13,227,27.2
0,23,13,228,26.5
0,23,13,229,26.0
0,23,13,230,22.2
0,23,13,231,28.1
0,23,13,232,28.0
0,23,13,233,25.3
0,23,13,234,26.6
0,23,13,235,22.8
0,23,13,236,22.6
0,23,13,237,27.5
0,23,13,238,27.7
0,23,13,239,26.9
0,23,13,240,24.8
0,23,13,241,22.7
0,23,13,242,27.4
0,23,13,243,24.8
0,23,13,244,26.2
0,23,13,245,27.8
0,23,13,246,23.2
0,23,13,247,26.9
0,23,13,248,29.3
0,23,13,249,21.4
0,23,13,250,25.8
0,23,13,251,23.6
0,23,13,252,24.6
0,23,13,253,24.4
0,23,13,254,27.5
0,23,13,255,22.5
0,23,14,256,26.9
0,23,14,257,27.1
0,23,14,258,25.0
0,23,14,259,25.0
0,23,14,260,28.2
0,23,14,261,28.9
0,23,14,262,26.5
0,23,14,263,25.6
0,23,14,264,26.1
0,23,14,265,26.6
0,23,14,266,26.0
0,23,14,267,27.7
0,23,14,268,29.0
0,23,14,269,24.3
0,23,14,270,29.1
0,23,14,271,25.5
0,23,14,272,21.9
0,23,14,273,23.5
0,23,14,274,27.4
0,23,14,275,22.4
0,23,14,276,29.1
0,23,14,277,26.9
0,23,14,278,25.7
0,23,14,279,22.7
0,23,14,280,24.9
0,23,14,281,20.6
0,23,14,282,22.1
0,23,14,283,21.7
0,23,14,284,24.4
0,23,14,285,24.1
0,23,14,286,23.4
0,23,14,287,26.2
0,23,14,288,24.9
0,23,14,289,25.8
0,23,14,290,25.0
0,23,14,291,25.7
0,23,14,292,29.5
0,23,14,293,27.2
0,23,14,294,24.6
0,23,14,295,25.7
0,23,14,296,27.5
0,23,14,297,28.3
0,23,14,298,27.0
0,23,14,299,29.9
0,23,14,300,25.5
0,23,14,301,25.4
0,23,14,302,28.6
0,23,14,303,22.7
0,23,14,304,22.1
0,23,14,305,25.1
0,23,14,306,23.5
0,23,14,307,22.4
0,23,14,308,23.4
0,23,14,309,29.5
0,23,14,310,27.4
0,23,14,311,27.0
0,23,14,312,27.1
0,23,14,313,22.7
0,23,14,314,25.3
0,23,14,315,29.7
0,23,14,316,23.8
0,23,14,317,26.0
0,23,14,318,30.5
0,23,14,319,31.0
0,23,15,320,25.2
0,23,15,321,26.6
0,23,15,322,27.9
0,23,15,323,26.3
0,23,15,324,27.1
0,23,15,325,27.8
0,23,15,326,28.3
0,23,15,327,26.9
0,23,15,328,25.4
0,23,15,329,25.4
0,23,15,330,26.5
0,23,15,331,26.9
0,23,15,332,29.8
0,23,15,333,26.9
0,23,15,334,22.9
0,23,15,335,26.3
0,23,15,336,25.7
0,23,15,337,22.8
0,23,15,338,20.5
